experiment,generator,repair_model,pilot_budget,N,selected_lcb_mean,fixed_real_utility,high_n_regret,upper_tail_rank_correlation,imagined_real_tail_gap,allow_high_n,stop_early,collect_pilot_labels,block_high_n,deployment_gate,gate_reason
controlled_pilot_repair,optimistic,pilot_lcb,0,1,-0.06428369903071103,0.07245689363723311,0.0,0.0,0.5242057401046623,False,False,True,False,collect_pilot_labels,pilot_labels_needed
controlled_pilot_repair,optimistic,pilot_lcb,0,2,0.3752496253680732,0.5189027624825636,0.0,0.0,0.4480443534751733,False,False,True,False,collect_pilot_labels,pilot_labels_needed
controlled_pilot_repair,optimistic,pilot_lcb,0,4,0.5544620456215638,0.8462342557807764,0.0,0.0,0.49052999913692474,False,False,True,False,collect_pilot_labels,pilot_labels_needed
controlled_pilot_repair,optimistic,pilot_lcb,0,8,0.6083231423132528,0.9184144164125124,0.0,0.2916666666666666,0.35675174246231717,False,False,True,False,collect_pilot_labels,pilot_labels_needed
controlled_pilot_repair,optimistic,pilot_lcb,0,16,0.6908813869963016,0.9689996242523193,0.0,0.44515717641596503,0.3456202518815796,False,False,True,False,collect_pilot_labels,pilot_labels_needed
controlled_pilot_repair,optimistic,pilot_lcb,0,32,0.757675114036521,0.9673555810004473,0.0016440432518720627,0.41778854604723586,0.37226078325572115,False,False,True,False,collect_pilot_labels,pilot_labels_needed
controlled_pilot_repair,optimistic,pilot_lcb,0,64,0.7987585836945077,0.9600893886138996,0.00891023563841975,0.31181381154963733,0.39464112002557766,False,False,True,False,collect_pilot_labels,pilot_labels_needed
controlled_pilot_repair,optimistic,pilot_lcb,8,1,-2.4558564291619267,0.07245689363723311,0.0,0.0,0.5242057401046623,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,8,2,-1.3786223472050196,0.5520344491427144,0.0,0.0,0.4480443534751733,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,8,4,-1.1117678670847242,0.848142941792806,0.0,0.0,0.49052999913692474,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,8,8,-0.8632915583053377,0.9838170086344084,0.0,0.2916666666666666,0.35675174246231717,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,8,16,-0.7338571715775365,1.0463243400057156,0.0,0.44515717641596503,0.3456202518815796,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,8,32,-0.6636422320191198,1.072617436448733,0.0,0.41778854604723586,0.37226078325572115,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,8,64,-0.6236135127128587,1.0905067299803097,0.0,0.31181381154963733,0.39464112002557766,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,32,1,-2.507660673543505,0.07245689363723311,0.0,0.0,0.5242057401046623,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,32,2,-1.4299806374751765,0.5520344491427144,0.0,0.0,0.4480443534751733,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,32,4,-1.162194345537204,0.848142941792806,0.0,0.0,0.49052999913692474,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,32,8,-0.913319025007833,0.9838170086344084,0.0,0.2916666666666666,0.35675174246231717,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,32,16,-0.7827472611301514,1.0444456463058789,0.0,0.44515717641596503,0.3456202518815796,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,32,32,-0.7122095978789235,1.0730208680033684,0.0,0.41778854604723586,0.37226078325572115,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,32,64,-0.6726687205346177,1.0916560490926106,0.0,0.31181381154963733,0.39464112002557766,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,128,1,-1.6847444881690976,0.07245689363723311,0.0,0.0,0.5242057401046623,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,128,2,-0.6072029356902303,0.5520344491427144,0.0,0.0,0.4480443534751733,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,128,4,-0.33848213165735913,0.848142941792806,0.0,0.0,0.49052999913692474,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,128,8,-0.09037004988040094,0.9838170086344084,0.0,0.2916666666666666,0.35675174246231717,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,128,16,0.03908805845965157,1.0444456463058789,0.0,0.44515717641596503,0.3456202518815796,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,128,32,0.1099382504893897,1.0730208680033684,0.0,0.41778854604723586,0.37226078325572115,True,False,False,False,allow_high_n,utility_improves_with_confidence
controlled_pilot_repair,optimistic,pilot_lcb,128,64,0.14933552579099763,1.0905579403042793,0.0,0.31181381154963733,0.39464112002557766,True,False,False,False,allow_high_n,utility_improves_with_confidence
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,0,1,0.16559105636211,-0.13402267980078855,0.0,0.0,1.0256038873145978,False,False,True,False,collect_pilot_labels,pilot_labels_needed
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,0,2,0.2859412816853864,0.2882161767532428,0.0,0.0,1.3171337855358918,False,False,True,False,collect_pilot_labels,pilot_labels_needed
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,0,4,0.3577890177283567,0.4986465921004613,0.0,0.0,1.5832722671329975,False,False,True,False,collect_pilot_labels,pilot_labels_needed
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,0,8,0.42200366236453424,0.776570642987887,0.0,-0.24999999999999997,1.797885220265016,False,False,True,False,collect_pilot_labels,pilot_labels_needed
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,0,16,0.4587365023553638,0.75490170220534,0.021668940782546997,-0.3,1.781363796403942,False,False,True,False,collect_pilot_labels,pilot_labels_needed
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,0,32,0.47066827448236664,0.8349358191092809,0.0,-0.29605518356774696,1.7652358116514126,False,False,True,False,collect_pilot_labels,pilot_labels_needed
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,0,64,0.47725626323961395,0.8050467322270075,0.02988908688227343,-0.3031769497520098,1.8588162598728861,False,False,True,False,collect_pilot_labels,pilot_labels_needed
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,8,1,-6.296399693350529,-0.13402267980078855,0.0,0.0,1.0256038873145978,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,8,2,-3.8346696951003536,0.23667901133497557,0.0,0.0,1.3171337855358918,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,8,4,-2.2183673593964985,0.4562040741244952,0.0,0.0,1.5832722671329975,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,8,8,-1.2294183012223165,0.7215040052930514,0.0,-0.24999999999999997,1.797885220265016,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,8,16,-0.6144321882913113,0.7215647871295611,0.0,-0.3,1.781363796403942,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,8,32,-0.4445562252667193,0.748545673986276,0.0,-0.29605518356774696,1.7652358116514126,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,8,64,-0.29210426100258574,0.8157320568958918,0.0,-0.3031769497520098,1.8588162598728861,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,32,1,-6.4778435383833335,-0.13402267980078855,0.0,0.0,1.0256038873145978,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,32,2,-4.0160192625936055,0.23667901133497557,0.0,0.0,1.3171337855358918,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,32,4,-2.399546543346458,0.4562040741244952,0.0,0.0,1.5832722671329975,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,32,8,-1.4106193780661924,0.7215040052930514,0.0,-0.24999999999999997,1.797885220265016,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,32,16,-0.7957047428501766,0.7215647871295611,0.0,-0.3,1.781363796403942,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,32,32,-0.6254786993510172,0.748545673986276,0.0,-0.29605518356774696,1.7652358116514126,False,False,False,True,block_high_n,tail_rank_failure
learned_pilot_repair,learned_diffusion_world_model,pilot_lcb,32,64,-0.4730021976106986,0.8157320568958918,0.0,-0.3031769497520098,1.8588162598728861,False,False,False,True,block_high_n,tail_rank_failure
near_oracle_ablation,optimistic,repair_oracle_features,128,1,0.07245689363723311,0.07245689363723311,0.0,0.0,0.5242057401046623,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_oracle_features,128,2,0.600650022427241,0.600650022427241,0.0,0.0,0.4480443534751733,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_oracle_features,128,4,0.8896917787690958,0.8896917787690958,0.0,0.0,0.49052999913692474,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_oracle_features,128,8,1.0326613659660022,1.0326613659660022,0.0,0.2916666666666666,0.35675174246231717,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_oracle_features,128,16,1.0725381647547085,1.0725381647547085,0.0,0.44515717641596503,0.3456202518815796,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_oracle_features,128,32,1.09419646859169,1.09419646859169,0.0,0.41778854604723586,0.37226078325572115,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_oracle_features,128,64,1.1161473914980888,1.1161473914980888,0.0,0.31181381154963733,0.39464112002557766,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_many_pilot_labels,512,1,0.07245689363723311,0.07245689363723311,0.0,0.0,0.5242057401046623,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_many_pilot_labels,512,2,0.600650022427241,0.600650022427241,0.0,0.0,0.4480443534751733,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_many_pilot_labels,512,4,0.8896917787690958,0.8896917787690958,0.0,0.0,0.49052999913692474,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_many_pilot_labels,512,8,1.0326613659660022,1.0326613659660022,0.0,0.2916666666666666,0.35675174246231717,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_many_pilot_labels,512,16,1.0725381647547085,1.0725381647547085,0.0,0.44515717641596503,0.3456202518815796,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_many_pilot_labels,512,32,1.09419646859169,1.09419646859169,0.0,0.41778854604723586,0.37226078325572115,True,False,False,False,allow_high_n,oracle_baseline
near_oracle_ablation,optimistic,repair_many_pilot_labels,512,64,1.1161473914980888,1.1161473914980888,0.0,0.31181381154963733,0.39464112002557766,True,False,False,False,allow_high_n,oracle_baseline
